City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Anloga,GH,2021-05-25 05:14:42,5.7947,0.8973,81.61,84,71,12.12
120,Victoria,HK,2021-05-25 05:12:48,22.2855,114.1577,84.38,83,18,1.99
121,Sayyan,YE,2021-05-25 05:14:43,15.1718,44.3244,66.67,41,26,3.15
122,Hit,IQ,2021-05-25 05:14:43,33.6416,42.8251,82.18,27,20,16.89
123,San Pedro,PH,2021-05-25 05:14:43,14.35,121.0167,93.31,42,77,8.1
124,Honiara,SB,2021-05-25 05:14:43,-9.4333,159.95,81.54,83,99,2.01
125,Lompoc,US,2021-05-25 05:14:44,34.6391,-120.4579,69.39,87,1,4.61
126,Biltine,TD,2021-05-25 05:14:44,14.5333,20.9167,79.12,10,51,5.28
127,San Patricio,US,2021-05-25 05:14:44,28.017,-97.5169,78.84,90,8,13.44
128,Codrington,AU,2021-05-25 05:14:44,-38.2667,141.9667,57.83,80,98,17.65
129,Stornoway,GB,2021-05-25 05:04:58,58.2093,-6.3865,47.93,87,90,16.11
130,Pafos,CY,2021-05-25 05:11:38,34.7667,32.4167,82.31,38,0,2.3
131,Thompson,CA,2021-05-25 05:14:45,55.7435,-97.8558,46.51,96,100,12.93
132,Sisimiut,GL,2021-05-25 05:14:45,66.9395,-53.6735,37.02,51,98,10.27
133,Padang,ID,2021-05-25 05:14:19,-0.9492,100.3543,87.85,68,63,5.26
134,Dikson,RU,2021-05-25 05:14:45,73.5069,80.5464,28.6,74,11,10.8
135,Cururupu,BR,2021-05-25 05:14:46,-1.8283,-44.8683,75.99,96,87,2.53
136,Ust-Kuyga,RU,2021-05-25 05:05:01,70.0167,135.6,60.69,27,47,11.1
137,Ayan,RU,2021-05-25 05:14:46,56.45,138.1667,35.83,84,97,19.39
138,Vila Franca Do Campo,PT,2021-05-25 05:14:46,37.7167,-25.4333,63.01,68,100,9.53
139,San Cristobal,VE,2021-05-25 05:14:46,7.7669,-72.225,66.0,92,93,2.86
140,Penzance,GB,2021-05-25 05:14:47,50.1186,-5.5371,51.01,85,100,21.83
141,Buala,SB,2021-05-25 05:14:47,-8.145,159.5921,82.76,76,100,5.55
