City_ID,City,Country,Max Temp,Current Descritpion,Lat,Lng,Hotel Name
336,Port Lincoln,AU,58.1,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
337,Puerto Gaitan,CO,85.23,scattered clouds,4.3133,-72.0816,Brisas del Yucao
342,Alnavar,IN,75.07,broken clouds,15.4333,74.7333,Ashwin Hotel & Lodge
343,Tairua,NZ,53.1,light rain,-37.0167,175.85,Pacific Harbour Villas
344,Bull Savanna,JM,83.25,scattered clouds,17.8868,-77.5902,Big Red's
345,Soligalich,RU,57.15,overcast clouds,59.0778,42.2864,Kurort Im. A.p. Borodina
347,Lewisville,US,81.34,scattered clouds,33.0462,-96.9942,Best Western Plus Hotel Lewisville-Dallas
348,Kavaratti,IN,83.71,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
350,Teo,ES,78.03,few clouds,42.75,-8.5,Casa Rural Paz
351,Kuantan,MY,80.71,few clouds,3.8077,103.32600000000001,Hotel Sentral Kuantan
352,Mana,GF,79.43,overcast clouds,5.6592,-53.7767,LE SAMANA
354,Saky,UA,69.82,overcast clouds,45.1356,33.6031,Chayka
355,Fukue,JP,65.12,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
356,Vila Do Maio,CV,79.59,few clouds,15.1333,-23.2167,Hotel Marilu
357,Vallenar,CL,74.53,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
359,Tiarei,PF,73.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
360,Duncan,US,69.35,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
362,Sola,VU,77.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
363,Mgandu,TZ,66.81,scattered clouds,-5.95,34.1333,
366,Svetlogorsk,BY,60.62,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
367,Chekhov,RU,70.09,broken clouds,55.1431,37.4711,Domik v derevne
368,Pekan,MY,80.71,clear sky,3.4836,103.3996,Pekan Budget Hotel
369,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Posada Villaven C.A.
370,Aitape,PG,78.33,broken clouds,-3.1374,142.3475,
371,Marfino,RU,70.09,clear sky,55.7028,37.3822,Nemchinovka-Park
373,Ofaqim,IL,78.71,clear sky,31.3141,34.6203,The Negev Experience
374,Collie,AU,57.97,light rain,-33.3667,116.15,Collie Ridge
375,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
376,Kavieng,PG,81.23,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
377,Payo,ID,73.49,overcast clouds,-3.7508,103.6372,Mess keban agung
378,Salalah,OM,86.09,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
379,Lata,PT,81.05,few clouds,40.1629,-8.3327,Casa Maquia
381,Hasaki,JP,68.29,light rain,35.7333,140.8333,Hotel Sunrise Choshi
382,Isfana,KG,70.36,broken clouds,39.8386,69.5306,Sayakat
383,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
385,Nahariyya,IL,76.91,clear sky,33.0059,35.0941,Shtarkman Erna Hotel
386,Dhidhdhoo,MV,83.91,clear sky,6.8833,73.1,Dhidhoo beach
387,Salur,IN,87.85,broken clouds,18.5333,83.2167,Pradeep
388,Sao Filipe,CV,73.11,clear sky,14.8961,-24.4956,Hotel Xaguate
389,Korla,CN,82.02,clear sky,41.7597,86.1469,Gulisitan Hotel
390,Liverpool,GB,65.44,light rain,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
391,Anloga,GH,86.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
