City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
166,Troitskoye,RU,52.9821,84.6757,46.98,55,44,3.13,scattered clouds
167,Flin Flon,CA,54.7682,-101.865,53.44,40,75,17.02,broken clouds
168,Asgabat,TM,37.95,58.3833,89.46,27,75,4.61,broken clouds
169,Beloha,MG,-25.1667,45.05,65.98,80,0,5.61,clear sky
170,Kalmunai,LK,7.4167,81.8167,82.38,74,65,3.22,broken clouds
171,San Andres,CO,12.5847,-81.7006,87.82,66,20,11.5,few clouds
172,Viborg,DK,56.4532,9.402,54.88,77,80,10.69,broken clouds
173,Gat,IL,31.61,34.7642,78.78,52,0,5.68,clear sky
174,Pacific Grove,US,36.6177,-121.9166,67.8,91,90,1.99,overcast clouds
175,Nizhnyaya Poyma,RU,56.1622,97.1933,39.33,82,97,11.21,overcast clouds
176,Yuncheng,CN,35.0231,110.9928,68.94,24,31,3.69,light rain
177,Swift Current,CA,50.2834,-107.8014,61.61,44,1,24.16,clear sky
178,Port Blair,IN,11.6667,92.75,82.08,83,100,5.97,overcast clouds
179,Batemans Bay,AU,-35.7167,150.1833,49.91,65,25,9.62,scattered clouds
180,Charlestown,AU,-32.95,151.6667,53.85,63,98,1.99,overcast clouds
181,Banjar,ID,-8.19,114.9675,80.46,89,88,2.39,overcast clouds
182,Altay,CN,47.8667,88.1167,61.11,40,0,5.57,clear sky
183,Mayo,US,38.8876,-76.5119,77.4,67,20,8.99,few clouds
184,Tautira,PF,-17.7333,-149.15,73.42,72,48,2.17,scattered clouds
185,Banyo,CM,6.75,11.8167,73.74,76,28,3.76,light rain
186,Husavik,IS,66.0449,-17.3389,58.91,52,18,17.25,few clouds
187,Nemuro,JP,43.3236,145.575,43.23,96,68,11.07,broken clouds
188,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.26,36,37,3.62,scattered clouds
189,Poum,NC,-20.2333,164.0167,72.5,71,4,18.81,clear sky
190,Nikolayevsk-Na-Amure,RU,53.1406,140.73,39.47,79,20,3.06,few clouds
191,Broome,US,42.2506,-75.833,54.99,82,90,8.88,light rain
192,Dikson,RU,73.5069,80.5464,23.29,93,100,3.62,overcast clouds
193,Thinadhoo,MV,0.5333,72.9333,84.78,72,52,19.91,broken clouds
194,Gigmoto,PH,13.7796,124.39,81.01,86,92,2.57,overcast clouds
195,Speightstown,BB,13.25,-59.65,86.61,66,13,15.32,few clouds
196,Hualmay,PE,-11.0964,-77.6139,70.86,75,44,9.13,scattered clouds
197,Umm Lajj,SA,25.0213,37.2685,85.48,65,30,4.0,scattered clouds
198,Suntar,RU,62.1444,117.6319,49.17,81,11,2.59,few clouds
199,Marzuq,YE,14.4,46.4667,83.84,34,64,8.48,broken clouds
200,Aleksinac,RS,43.5417,21.7078,64.31,81,51,9.4,broken clouds
201,Kristiinankaupunki,FI,62.2743,21.376,53.56,54,1,7.0,clear sky
202,Luena,AO,-11.7833,19.9167,61.75,38,1,2.91,clear sky
203,Natal,BR,-5.795,-35.2094,88.02,55,40,14.23,scattered clouds
204,Suffolk,US,40.8668,-72.7996,68.29,52,20,11.99,few clouds
205,Luderitz,NA,-26.6481,15.1594,63.23,61,67,15.52,broken clouds
206,Kalachinsk,RU,55.0529,74.5751,49.91,65,22,2.59,few clouds
207,Hami,CN,42.8,93.45,80.67,22,15,6.29,few clouds
208,Koumac,NC,-20.5667,164.2833,68.67,78,16,10.58,few clouds
209,Mar Del Plata,AR,-38.0023,-57.5575,65.08,44,0,7.0,light rain
210,Salcininkai,LT,54.3,25.3833,55.0,88,92,4.79,overcast clouds
211,Thunder Bay,CA,48.4001,-89.3168,52.99,29,1,8.05,clear sky
212,Ceres,US,37.5949,-120.9577,77.68,52,1,4.61,clear sky
213,Andros Town,BS,24.7,-77.7667,84.16,63,80,12.1,broken clouds
214,Rocha,UY,-34.4833,-54.3333,68.59,62,30,9.1,scattered clouds
215,Bilma,NE,18.6853,12.9164,100.4,5,5,5.59,clear sky
216,Saldanha,ZA,-33.0117,17.9442,59.05,94,13,5.61,light rain
217,Kaitangata,NZ,-46.2817,169.8464,50.94,81,100,6.22,moderate rain
218,Birjand,IR,32.8663,59.2211,81.07,14,20,9.22,few clouds
219,Ambon,ID,-3.6954,128.1814,77.14,94,40,9.73,light rain
220,Channel-Port Aux Basques,CA,47.5702,-59.1367,40.6,63,43,28.1,scattered clouds
221,Bontang,ID,0.1333,117.5,82.44,79,69,6.87,broken clouds
222,Salinas,US,36.6777,-121.6555,67.96,85,90,9.22,overcast clouds
223,Kruisfontein,ZA,-34.0033,24.7314,63.88,73,0,13.11,clear sky
224,Aromashevo,RU,56.8602,68.6375,58.68,56,100,5.21,overcast clouds
225,San Patricio,US,28.017,-97.5169,87.89,68,81,10.58,broken clouds
226,Dingle,PH,10.9995,122.6711,78.78,87,87,2.17,light rain
227,Saint Anthony,US,45.0205,-93.218,54.18,53,1,3.0,clear sky
228,Namibe,AO,-15.1961,12.1522,74.68,70,0,9.33,clear sky
229,Yar-Sale,RU,66.8333,70.8333,41.58,44,47,6.46,scattered clouds
230,Fereydunshahr,IR,32.941,50.121,62.44,20,47,4.47,scattered clouds
231,Barra Dos Coqueiros,BR,-10.9089,-37.0386,84.22,61,20,10.36,few clouds
232,Asau,RO,46.4333,26.4,58.39,100,100,4.16,light rain
233,Klaksvik,FO,62.2266,-6.589,49.12,84,65,15.59,broken clouds
234,Haines Junction,CA,60.7522,-137.5108,46.35,57,100,2.3,overcast clouds
235,Kolondieba,ML,11.0882,-6.8926,99.16,27,45,4.45,scattered clouds
236,Rawson,AR,-43.3002,-65.1023,46.8,44,100,25.01,overcast clouds
237,San Felipe,VE,10.3399,-68.7425,81.18,80,75,2.48,broken clouds
238,Ust-Nera,RU,64.5667,143.2,43.52,72,94,5.57,light rain
239,Kushiro,JP,42.975,144.3747,45.39,96,100,6.93,overcast clouds
240,Palmer,US,42.1584,-72.3287,62.58,44,90,1.01,overcast clouds
241,Lasa,IT,46.6166,10.7002,72.48,69,73,3.85,broken clouds
242,Huarmey,PE,-10.0681,-78.1522,71.62,78,64,10.2,broken clouds
243,Aklavik,CA,68.2191,-135.0107,29.12,80,75,12.66,broken clouds
244,Solnechnyy,RU,50.7214,136.6319,45.77,81,71,1.88,broken clouds
245,Valparaiso,CL,-33.0393,-71.6273,64.63,77,20,9.22,few clouds
246,Kilindoni,TZ,-7.9139,39.6668,78.15,66,27,13.47,scattered clouds
247,Tasiilaq,GL,65.6145,-37.6368,41.16,96,100,12.5,moderate rain
248,Yerbogachen,RU,61.2767,108.0108,49.82,65,74,7.67,broken clouds
249,Catamarca,AR,-28.4696,-65.7852,86.65,20,48,5.7,scattered clouds
250,Burnie,AU,-41.0667,145.9167,38.95,76,2,4.76,clear sky
251,Juruti,BR,-2.1522,-56.0922,87.71,56,39,4.81,scattered clouds
252,Tucurui,BR,-3.7661,-49.6725,90.5,49,13,2.21,few clouds
253,Pangnirtung,CA,66.1451,-65.7125,32.0,80,90,13.8,overcast clouds
254,Scarborough,GB,54.2797,-0.4044,64.22,82,92,1.01,overcast clouds
255,Providencia,MX,28.7167,-111.5833,92.86,31,0,1.01,clear sky
256,Lagoa,PT,39.05,-27.9833,61.41,71,93,10.74,overcast clouds
257,Cabo San Lucas,MX,22.8909,-109.9124,93.51,44,1,3.44,clear sky
258,Auki,SB,-8.7676,160.7034,75.94,88,99,3.04,light rain
259,Ilulissat,GL,69.2167,-51.1,48.22,40,20,5.75,few clouds
260,Ngunguru,NZ,-35.6167,174.5,56.16,85,72,24.27,light rain
261,East London,ZA,-33.0153,27.9116,63.54,67,0,6.91,clear sky
262,Taoudenni,ML,22.6783,-3.9836,113.31,3,55,10.42,broken clouds
